locationID	distance	prop_b1a	prop_b1b	prop_b2_b3	prop_m1a	prop_m1b	prop_m2_3	cox1.nSamples	pi_f	hd_f	pi_m	hd_m
GRI	144	0.4	0	0.6	0.6	0	0.4	10	0.77	0.53	0.7	0.98
KRU	487	0.72727273	0	0.27272727	0.818181818	0	0.181818182	22	0.77	0.69	0.23	0.65
CRO	712	0.67857143	0.10714286	0.21428571	0.535714286	0.035714286	0.428571429	28	0.77	0.58	0.38	0.88
VAA	888	0.87096774	0.03225806	0.09677419	0.64516129	0	0.35483871	31	0.33	0.24	0.27	0.75
MSM	996	0.93548387	0	0.06451613	0	1	0	31	0.22	0.24	0.11	0.35
BRI	1050	0.43333333	0.03333333	0.53333333	0	1	0	30	0.76	0.99	0.08	0.36
MAH	1209	0.1	0.9	0	0	1	0	30	0.18	0.36	0.07	0.31
BRE	1216	0.34482759	0.65517241	0	0	1	0	29	0.71	0.49	0.13	0.53
AYT	1356	0.27272727	0.72727273	0	0	1	0	33	0.43	0.55	0.07	0.28
FOU	1368	0.13333333	0.86666667	0	0	1	0	30	0.29	0.5	0.08	0.31
ARC	1511	0.1	0.9	0	0	1	0	10	0.23	0.38	0.04	0.2
